centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cansperout	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs_secs	predsecs	time_obs	difference	time_obs_days	time_obs_ex2
9645412939	9645412939.00000000_R	5	25	6	13	10.79	0.461538462	42.69	3.95753	-2.30093	1608.047089	0	0:02:23	2.23	1.13167	143	221.13941	133.8	87.33941	0.001655093	2.383333333
9639936800	9639936800.00000000_R	4	25	6	7	5.81	0.857142857	70.84	1.97455	2.10838	521.7264203	0	0:01:50	1.5	1.00693	110	102.45919	90	12.45919	0.001273148	1.833333333
9669104204	9669104204.00000000_R	10	20	6	10	8.3	0.6	62.7	2.96047	6.41246	842.1099709	0	0:02:29	2.29	1.42649	149	157.59845	137.4	20.19845	0.001724537	2.483333333
9645843554	9645843554.00000000_R	10	20	6	8	6.64	0.75	24.42	2.96834	8.3833	1729.6282	0	0:02:30	2.3	2.98484	150	166.95133	138	28.95133	0.001736111	2.5
9639747223	9639747223.00000000_R	5	25	6	14	11.62	0.428571429	36.44	4.39691	3.64776	2028.639793	0	0:02:47	2.47	2.14449	167	250.29552	148.2	102.09552	0.00193287	2.783333333
9628249485	9628249485.00000000_R	5	25	6	10	8.3	0.6	69.24	2.82864	-1.57357	762.5993156	0	0:02:33	2.33	1.16307	153	149.96713	139.8	10.16713	0.001770833	2.55
9645821586	9645821586.00000000_R	5	25	6	5	4.15	1	26.03	1.70195	2.36664	1014.097447	0	0:02:05	2.05	1.22265	125	96.34518	123	-26.65482	0.001446759	2.083333333
9658671236	9658671236.00000000_R	4	35	6	5	4.15	1	17.02	1.74464	1.28931	1551.216989	0	0:02:01	2.01	1.11106	121	108.33097	120.6	-12.26903	0.001400463	2.016666667
9644299679	9644299679.00000000_R	5	25	6	8	6.64	0.75	41.07	2.45313	0.97222	1028.574365	0	0:02:18	2.18	2.04245	138	134.99151	130.8	4.19151	0.001597222	2.3
9649722585	9649722585.00000000_R	5	25	6	3	2.49	1	41.01	0.92017	13.20359	386.2584531	0	0:02:28	2.28	1.00053	148	46.38379	136.8	-90.41621	0.001712963	2.466666667
9649223422	9649223422.00000000_R	4	25	6	16	13.28	0.375	181.74	4.18249	0.21512	464.8485194	0	0:02:12	2.12	1.00007	132	214.47188	127.2	87.27188	0.001527778	2.2
9668182191	9668182191.00000000_R	10	20	6	6	4.98	1	51.53	1.83849	8.94676	614.7474927	1	0:01:53	1.53	1.01551	113	139.29445	91.8	47.49445	0.00130787	1.883333333
9657230153	9657230153.00000000_R	4	25	6	8	6.64	0.75	58.8	2.31213	-0.83522	718.3705936	0	0:01:25	1.25	1.08814	85	122.84948	75	47.84948	0.000983796	1.416666667
9740710614	9740710614.00000000_R	5	25	6	8	6.64	0.75	32.6	2.57453	2.85571	1295.647992	0	0:02:00	2	1.0908	120	145.44533	120	25.44533	0.001388889	2
9647951833	9647951833.00000000_R	5	20	6	4	3.32	1	35.65	1.32942	0	592.4442434	0	0:02:21	2.21	1.00028	141	71.66666	132.6	-60.93334	0.001631944	2.35
9657130784	9657130784.00000000_R	4	25	6	7	5.81	0.857142857	119.22	1.87832	-8.0641	310.0159323	0	0:01:05	1.05	1.08638	65	94.17239	63	31.17239	0.000752315	1.083333333
9740618940	9740618940.00000000_R	4	25	6	7	5.81	0.857142857	47.98	2.08757	5.06252	770.3667231	0	0:01:41	1.41	1.01646	101	112.19149	84.6	27.59149	0.001168981	1.683333333
9649549957	9649549957.00000000_R	5	25	6	1	0.83	1	26.68	0.33815	-4.04263	197.8910336	0	0:01:08	1.08	1.0001	68	13.62425	64.8	-51.17575	0.000787037	1.133333333
9649770034	9649770034.00000000_R	5	25	6	9	7.47	0.666666667	75.48	2.51998	5.87683	629.5908915	0	0:03:07	3.07	1.00001	187	132.06768	184.2	-52.13232	0.002164352	3.116666667
9645623433	9645623433.00000000_R	5	20	6	10	8.3	0.6	38.73	3.25657	-4.18121	1363.241928	0	0:02:30	2.3	1.1785	150	177.99665	138	39.99665	0.001736111	2.5
9669041589	9669041589.00000000_R	5	25	6	11	9.13	0.545454545	28.99	3.64086	4.99138	2003.455352	0	0:03:06	3.06	1.84546	186	211.23008	183.6	27.63008	0.002152778	3.1
9655025812	9655025812.00000000_R	5	25	6	5	4.15	1	29.13	1.65297	1.65501	906.3413899	0	0:02:18	2.18	1.00425	138	92.12738	130.8	-38.67262	0.001597222	2.3
9658770317	9658770317.00000000_R	5	25	6	5	4.15	1	21.72	1.79348	-0.98728	1215.466181	0	0:02:18	2.18	1.08406	138	104.22718	130.8	-26.57282	0.001597222	2.3
9659966454	9659966454.00000000_R	5	20	6	7	5.81	0.857142857	46.21	2.19184	3.25076	799.8126634	0	0:02:25	2.25	1.00323	145	117.86317	135	-17.13683	0.001678241	2.416666667
9649000136	9649000136.00000000_R	5	25	6	3	2.49	1	54.64	0.87636	-10.00444	289.8713661	0	0:01:30	1.3	1.02621	90	42.611	78	-35.389	0.001041667	1.5
9639856627	9639856627.00000000_R	4	25	6	0	0	1	0	0.24014	1.89284	528.3080058	0	0:01:18	1.18	1.02821	78	3.00175	70.8	-67.79825	0.000902778	1.3
9669062857	9669062857.00000000_R	10	20	6	6	4.98	1	80.82	1.71193	3.06123	391.999451	0	0:01:27	1.27	1.01782	87	89.20728	76.2	13.00728	0.001006944	1.45
9647934529	9647934529.00000000_R	10	20	6	7	5.81	0.857142857	57.71	2.10132	0.15613	640.4972412	0	0:01:55	1.55	1.03827	115	111.62723	93	18.62723	0.001331019	1.916666667
9659915479	9659915479.00000000_R	10	20	6	4	3.32	1	35	1.33565	-5.96599	603.4204712	0	0:02:26	2.26	1.00005	146	72.09629	135.6	-63.50371	0.001689815	2.433333333
9645932031	9645932031.00000000_R	5	25	6	6	4.98	1	38.23	1.86587	1.93079	828.6749913	0	0:02:19	2.19	1.00002	139	101.78058	131.4	-29.61942	0.001608796	2.316666667
9628136946	9628136946.00000000_R	4	25	6	9	7.47	0.666666667	45.88	2.70458	6.27592	1035.705216	0	0:02:13	2.13	1.00019	133	147.96385	127.8	20.16385	0.001539352	2.216666667
9639930628	9639930628.00000000_R	5	25	5	4	3.32	1	34.51	1.27096	-5.39264	611.9455271	0	0:02:17	2.17	1.00695	137	67.91088	130.2	-62.28912	0.001585648	2.283333333
9649640446	9649640446.00000000_R	4	30	5	6	4.98	0.833333333	80.97	1.63741	-1.78903	391.2732609	0	0:01:18	1.18	1.00001	78	80.14065	70.8	9.34065	0.000902778	1.3
9628155787	9628155787.00000000_R	4	30	5	0	0	1	0	0.16076	3.77003	424.3992697	0	0:01:38	1.38	1.01165	98	2.41136	82.8	-80.38864	0.001134259	1.633333333
9647963368	9647963368.00000000_R	4	35	5	5	4.15	1	33.82	1.49443	2.9466	780.5612538	0	0:02:00	2	1.00006	120	78.16588	120	-41.83412	0.001388889	2
9740503700	9740503700.00000000_R	10	20	5	8	6.64	0.625	30.59	2.7701	3.54887	1380.719577	0	0:02:06	2.06	5.23219	126	153.29431	123.6	29.69431	0.001458333	2.1
9628234897	9628234897.00000000_R	4	30	5	8	6.64	0.625	52.12	2.2926	5.05877	810.4742324	0	0:01:55	1.55	1.00593	115	121.93551	93	28.93551	0.001331019	1.916666667
