centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs	time_obs_days	time_obs_ex2	time_obs_ex22
9649532922	9649532922.00000000_L	5	20	7.47	9	7.47	80.93	2.56742	5.27949	587.1775678	0	0:00:00	0	1.00001	0	0	0	0
9648340809	9648340809.00000000_L	5	25	7.47	9	7.47	75.43	2.52016	-7.61915	629.9916114	0	0:00:00	0	1.00004	0	0	0	0
9629807434	9629807434.00000000_L	5	25	7.47	9	7.47	89.7	2.47461	1.69882	529.7802073	0	0:00:00	0	1.18177	0	0	0	0
9649393867	9649393867.00000000_L	5	25	7.47	9	7.47	53.62	2.63665	-3.61061	886.2776073	0	0:00:00	0	1.00003	0	0	0	0
9658561367	9658561367.00000000_L	5	25	7.47	9	7.47	53.62	2.63664	0.56418	886.2461598	0	0:00:00	0	1.00705	0	0	0	0
9649250115	9649250115.00000000_L	5	25	7.47	9	7.47	151.62	2.37626	-1.27628	313.4116174	0	0:00:00	0	1.00018	0	0	0	0
9628010635	9628010635.00000000_L	4	35	7.47	9	7.47	36.34	2.65839	-5.42924	1307.734351	0	0:00:00	0	1.04775	0	0	0	0
9656280163	9656280163.00000000_L	4	35	7.47	9	7.47	64.72	2.47219	6.12871	734.2494634	0	0:00:00	0	1.00002	0	0	0	0
9647844204	9647844204.00000000_L	5	25	7.47	9	7.47	67.57	2.55345	-3.55499	703.2368838	0	0:01:39	1.39	1.00074	83.4	0.001145833	99	1.65
9638044481	9638044481.00000000_L	4	35	7.47	9	7.47	65.89	2.46794	5.40796	721.1595306	0	0:00:00	0	1.00932	0	0	0	0
9627073168	9627073168.00000000_L	7	20	7.47	9	7.47	35.12	3.00253	4.06515	1352.96352	0	0:00:00	0	1.45623	0	0	0	0
9668041846	9668041846.00000000_L	4	20	7.47	9	7.47	48.52	2.79029	9.49543	979.4189672	0	0:00:00	0	1.00143	0	0	0	0
9648246797	9648246797.00000000_L	5	25	7.47	9	7.47	78.68	2.50833	-11.42458	603.9610113	0	0:00:00	0	1.00009	0	0	0	0
9649474739	9649474739.00000000_L	5	25	7.47	9	7.47	88.27	2.47852	-1.85745	538.3734683	0	0:00:00	0	1.00091	0	0	0	0
9740302293	9740302293.00000000_L	5	20	7.47	9	7.47	70.72	2.61561	-4.46434	671.991806	0	0:00:00	0	1.10692	0	0	0	0
9639864014	9639864014.00000000_L	5	25	7.47	9	7.47	126.54	2.40449	0.53259	375.5254349	0	0:00:52	0.52	1.11607	31.2	0.000601852	52	0.866666667
9730933906	9730933906.00000000_L	5	20	7.47	9	7.47	57.76	2.70128	-0.60771	822.7572344	0	0:00:00	0	1.01573	0	0	0	0
9639938060	9639938060.00000000_L	5	25	7.47	9	7.47	83.16	2.49354	7.87495	571.4322734	0	0:00:00	0	1	0	0	0	0
9654262694	9654262694.00000000_L	5	25	7.47	9	7.47	42.54	2.74161	2.32729	1117.180052	0	0:00:00	0	1.00024	0	0	0	0
9629507003	9629507003.00000000_L	3	45	7.47	9	7.47	31.49	2.6149	-3.44566	1509.142688	0	0:00:00	0	1.08268	0	0	0	0
9649937223	9649937223.00000000_L	5	25	7.47	9	7.47	20.5	3.28758	0	2318.314755	0	0:00:00	0	0	0	0	0	0
9740429780	9740429780.00000000_L	5	25	7.47	9	7.47	117.93	2.41696	3.72263	402.9412452	0	0:00:00	0	1.36798	0	0	0	0
9649340848	9649340848.00000000_L	4	25	7.47	9	7.47	50.23	2.66384	-1.37407	946.0933394	0	0:00:00	0	1.00165	0	0	0	0
9628748249	9628748249.00000000_L	4	30	7.47	9	7.47	92.99	2.42737	-3.13095	511.0271679	0	0:00:00	0	1.00093	0	0	0	0
9668460149	9668460149.00000000_L	5	25	7.47	9	7.47	45.97	2.70364	-4.3535	1033.65174	0	0:00:00	0	1.00033	0	0	0	0
9668060780	9668060780.00000000_L	4	20	7.47	9	7.47	61.39	2.67359	7.88075	774.0379097	0	0:00:00	0	1.03333	0	0	0	0
9656123658	9656123658.00000000_L	10	20	7.47	9	7.47	62.1	2.6686	-2.74422	765.246088	0	0:00:00	0	1.25413	0	0	0	0
9647786113	9647786113.00000000_L	5	30	7.47	9	7.47	66.17	2.50584	-2.36711	718.1765491	0	0:02:33	2.33	1.00014	139.8	0.001770833	153	2.55
9740795192	9740795192.00000000_L	10	20	7.47	9	7.47	50.5	2.76844	-4.14467	940.9674668	0	0:00:00	0	1.08285	0	0	0	0
9649054373	9649054373.00000000_L	5	25	7.47	9	7.47	79.82	2.50442	-1.51167	595.3670252	0	0:00:00	0	1.01079	0	0	0	0
9658110026	9658110026.00000000_L	10	20	7.47	9	7.47	46.94	2.80901	2.66699	1012.37657	0	0:00:00	0	1.09709	0	0	0	0
9657049282	9657049282.00000000_L	5	25	7.47	9	7.47	52.08	2.64857	-4.05483	912.4919773	0	0:02:07	2.07	1.30412	124.2	0.001469907	127	2.116666667
9740798803	9740798803.00000000_L	10	20	7.47	9	7.47	21.9	3.46685	-13.17872	2170.165693	0	0:00:00	0	1.43315	0	0	0	0
9657013174	9657013174.00000000_L	5	30	7.47	9	7.47	61.99	2.52418	-6.65281	766.5932283	0	0:00:00	0	1.0001	0	0	0	0
9655389947	9655389947.00000000_L	10	20	7.47	9	7.47	80.65	2.56859	2.54567	589.2357194	0	0:00:00	0	1.38118	0	0	0	0
9655016848	9655016848.00000000_L	5	25	7.47	9	7.47	33.07	2.88692	0	1436.854465	0	0:02:20	2.2	1.16588	132	0.00162037	122	2.333333333
9628658383	9628658383.00000000_L	5	25	7.47	9	7.47	59.23	2.5985	-3.2405	802.3462055	0	0:02:31	2.31	1.04526	138.6	0.001747685	151	2.516666667
9740063559	9740063559.00000000_L	5	25	7.47	9	7.47	27.98	3.00577	4.18054	1698.344556	0	0:00:00	0	1.0927	0	0	0	0
9617517367	9617517367.00000000_L	5	25	7.47	9	7.47	79.15	2.50669	-8.82802	600.3610484	0	0:00:00	0	1.01015	0	0	0	0
9617859648	9617859648.00000000_L	7	20	7.47	9	7.47	65.34	2.64705	4.94971	727.315939	0	0:00:00	0	1.00575	0	0	0	0
9627106310	9627106310.00000000_L	5	25	7.47	9	7.47	50.47	2.66175	1.69941	941.5007538	0	0:00:00	0	1.22615	0	0	0	0
9607965721	9607965721.00000000_L	5	25	7.47	9	7.47	53.46	2.63785	6.97479	888.9152917	0	0:00:00	0	1.06173	0	0	0	0
9658879980	9658879980.00000000_L	4	30	7.47	9	7.47	34.92	2.7493	-5.95184	1360.924014	0	0:01:46	1.46	1.01948	87.6	0.001226852	106	1.766666667
9627872856	9627872856.00000000_L	4	35	7.47	9	7.47	29.95	2.74891	-4.15998	1586.544743	0	0:00:00	0	1.26293	0	0	0	0
9649149648	9649149648.00000000_L	4	25	7.47	9	7.47	132.65	2.39663	-7.81619	358.2309313	0	0:00:00	0	1.00018	0	0	0	0
9649241491	9649241491.00000000_L	5	25	7.47	9	7.47	72.94	2.52993	-2.14893	651.4864848	0	0:00:00	0	1.00008	0	0	0	0
9628597247	9628597247.00000000_L	10	20	7.47	9	7.47	56.28	2.71356	4.61879	844.3766531	0	0:00:00	0	1.14505	0	0	0	0
9638815427	9638815427.00000000_L	5	25	7.47	9	7.47	76.98	2.51441	-4.53564	617.3323019	0	0:00:00	0	1.29545	0	0	0	0
9668454115	9668454115.00000000_L	5	25	7.47	9	7.47	48.88	2.6757	4.62876	972.1827495	0	0:00:00	0	1.14302	0	0	0	0
9628359234	9628359234.00000000_L	10	20	7.47	9	7.47	64.18	2.65449	4.32195	740.4059715	1	0:04:41	4.41	1.00282	264.6	0.003252315	281	4.683333333
9648542658	9648542658.00000000_L	5	25	7.47	9	7.47	62.28	2.58064	-4.58683	763.0544233	0	0:00:00	0	1.44174	0	0	0	0
9649034433	9649034433.00000000_L	4	30	7.47	9	7.47	85.67	2.44391	3.96612	554.698141	0	0:02:04	2.04	1.00006	122.4	0.001435185	124	2.066666667
9648048065	9648048065.00000000_L	5	25	7.47	9	7.47	269.9	2.31383	-2.27186	176.0670722	0	0:00:00	0	1.01729	0	0	0	0
9730863213	9730863213.00000000_L	5	25	7.47	9	7.47	56.03	2.61928	-10.49459	848.0561667	0	0:00:00	0	1.0004	0	0	0	0
9659766165	9659766165.00000000_L	5	25	7.47	9	7.47	41.04	2.76015	-0.43179	1157.96597	0	0:00:00	0	1.17576	0	0	0	0
9649371018	9649371018.00000000_L	5	20	7.47	9	7.47	58.86	2.69254	4.33503	807.3752808	0	0:00:00	0	1.09929	0	0	0	0
9740359017	9740359017.00000000_L	10	20	7.47	9	7.47	36.16	2.98043	0.1522	1314.064073	0	0:00:00	0	1.00446	0	0	0	0
9648915840	9648915840.00000000_L	3	45	7.47	9	7.47	12.46	3.19695	-0.2884	3814.087966	0	0:00:00	0	1.03584	0	0	0	0
9638765003	9638765003.00000000_L	5	20	7.47	9	7.47	31.11	3.10171	-4.1898	1527.51853	0	0:00:00	0	1.0166	0	0	0	0
9648510055	9648510055.00000000_L	5	20	7.47	9	7.47	34.25	3.02212	0	1387.451292	0	0:00:00	0	5.37619	0	0	0	0
